ip,itype,source,value
185.12.127.233,mal_domain,FirstEnergy,147260-coinbase.com
195.133.199.46,mal_domain,FirstEnergy,91723-gemini.com
,mal_domain,FirstEnergy,18594162-coinbase.com
185.12.127.233,mal_domain,FirstEnergy,172486-coinbase.com
213.178.155.194,mal_domain,FirstEnergy,11472-coinbase.com
194.169.163.171,mal_domain,FirstEnergy,tickets-apple.com
195.133.199.46,mal_domain,FirstEnergy,tech-icloud.com
104.21.47.40,mal_domain,FirstEnergy,help-bitfinex.com
185.12.127.233,mal_domain,FirstEnergy,action-shakepay.com
195.133.199.46,mal_domain,FirstEnergy,19287-binance.com
195.133.199.46,mal_domain,FirstEnergy,18275-gemini.com
,mal_domain,FirstEnergy,16893924-coinbase.com
,mal_domain,FirstEnergy,guard-icloud.com
,mal_domain,FirstEnergy,16458207-coinbase.com
195.133.199.46,mal_domain,FirstEnergy,158312-coinbase.com
45.8.229.165,mal_domain,FirstEnergy,www-help-coinbase.com
185.12.127.233,mal_domain,FirstEnergy,185912-coinbase.com
,mal_domain,FirstEnergy,16178434-coinbase.com
213.178.155.194,mal_domain,FirstEnergy,protect-apple.com
,mal_domain,FirstEnergy,162478-coinbase.com
158.160.135.168,mal_domain,FirstEnergy,19582970-coinbase.com
104.21.14.172,mal_domain,FirstEnergy,14817582-coinbase.com
194.169.163.171,mal_domain,FirstEnergy,17182-coinbase.com
,mal_domain,FirstEnergy,18597162-coinbase.com
,mal_domain,FirstEnergy,14765-coinbase.com
194.169.163.171,mal_domain,FirstEnergy,195827-binance.com
,mal_domain,FirstEnergy,158372-coinbase.com
45.151.232.81,mal_domain,FirstEnergy,establish-coinbase.com
195.133.199.46,mal_domain,FirstEnergy,threat-coinbase.com
195.133.199.46,mal_domain,FirstEnergy,17912-coinbase.com
,mal_domain,FirstEnergy,2c-coinbase.com
45.79.78.168,mal_domain,FirstEnergy,72985-coinbase.com
195.133.199.46,mal_domain,FirstEnergy,secure-binance.us
,mal_domain,FirstEnergy,91782-coinbase.com
,mal_domain,FirstEnergy,16728342-coinbase.com
,mal_domain,FirstEnergy,16642172-coinbase.com
213.178.155.194,mal_domain,FirstEnergy,16728472-coinbase.com
185.12.127.233,mal_domain,FirstEnergy,182967-coinbase.com
,mal_domain,FirstEnergy,11258-coinbase.com
194.169.163.171,mal_domain,FirstEnergy,signin-kraken.com
91.215.85.44,mal_domain,FirstEnergy,58297-coinbase.com
213.178.155.194,mal_domain,FirstEnergy,1958262-coinbase.com
,mal_domain,FirstEnergy,16827423-coinbase.com
194.169.163.171,mal_domain,FirstEnergy,113912-coinbase.com
158.160.135.168,mal_domain,FirstEnergy,754668948-coinbase.com
185.12.127.233,mal_domain,FirstEnergy,17512854-coinbase.com
,mal_domain,FirstEnergy,167285-coinbase.com
,mal_domain,FirstEnergy,19764162-coinbase.com
,mal_domain,FirstEnergy,17619-coinbase.com
